tahun,nama_kota,nama_kecamatan,nama_kelurahan,jenis_disabilitas,jenis_kelamin,jumlah
2017,JAKARTA PUSAT,S E N E N,KWITANG,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA PUSAT,S E N E N,BUNGUR,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,S E N E N,BUNGUR,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,BUNGUR,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,BUNGUR,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Cacat Fisik,Laki-laki,
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,MENTENG,MENTENG,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,MENTENG,MENTENG,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,MENTENG,MENTENG,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,MENTENG,MENTENG,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Cacat Lainnya,Laki-laki,
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Cacat Netra/Buta,Laki-laki,3
2017,JAKARTA PUSAT,MENTENG,CIKINI,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,MENTENG,GONDANGDIA,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Cacat Lainnya,Laki-laki,
2017,JAKARTA PUSAT,TANAH ABANG,GELORA,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Cacat Fisik,Laki-laki,3
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Cacat Lainnya,Laki-laki,3
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Cacat Fisik,Laki-laki,3
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Cacat Lainnya,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Cacat Mental/Jiwa,Laki-laki,3
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Cacat Netra/Buta,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,GALUR,Cacat Lainnya,Laki-laki,2
2017,JAKARTA PUSAT,JOHAR BARU,GALUR,Cacat Netra/Buta,Laki-laki,4
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Cacat Fisik,Laki-laki,7
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Cacat Netra/Buta,Laki-laki,2
2017,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Cacat Fisik,Laki-laki,21
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Cacat Lainnya,Laki-laki,3
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Fisik,Laki-laki,4
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Fisik dan Mental,Laki-laki,2
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Mental/Jiwa,Laki-laki,11
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Netra/Buta,Laki-laki,3
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Cacat Rungu/Wicara,Laki-laki,4
2017,JAKARTA UTARA,PENJARINGAN,PLUIT,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Cacat Mental/Jiwa,Laki-laki,3
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Fisik,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Lainnya,Laki-laki,2
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Cacat Fisik,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Cacat Lainnya,Laki-laki,2
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Fisik,Laki-laki,7
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,KOJA,KOJA,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,KOJA,KOJA,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Fisik,Laki-laki,2
2017,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,KOJA,TUGU UTARA,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA UTARA,KOJA,LAGOA,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,KOJA,LAGOA,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,KOJA,LAGOA,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,KOJA,LAGOA,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,KOJA,TUGU SELATAN,Cacat Fisik,Laki-laki,14
2017,JAKARTA UTARA,KOJA,TUGU SELATAN,Cacat Lainnya,Laki-laki,2
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Fisik,Laki-laki,
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Lainnya,Laki-laki,67
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Cacat Rungu/Wicara,Laki-laki,3
2017,JAKARTA UTARA,CILINCING,CILINCING,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,CILINCING,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,CILINCING,CILINCING,Cacat Lainnya,Laki-laki,3
2017,JAKARTA UTARA,CILINCING,CILINCING,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,SUKAPURA,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,SUKAPURA,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Lainnya,Laki-laki,2
2017,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,MARUNDA,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,KALIBARU,Cacat Lainnya,Laki-laki,3
2017,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,CILINCING,ROROTAN,Cacat Fisik,Laki-laki,5
2017,JAKARTA UTARA,CILINCING,ROROTAN,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,CILINCING,ROROTAN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,ROROTAN,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA UTARA,CILINCING,ROROTAN,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA UTARA,CILINCING,SEMPER BARAT,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,CILINCING,SEMPER BARAT,Cacat Lainnya,Laki-laki,3
2017,JAKARTA UTARA,CILINCING,SEMPER BARAT,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Fisik,Laki-laki,6
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Lainnya,Laki-laki,3
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Cacat Fisik,Laki-laki,3
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Cacat Lainnya,Laki-laki,2
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA UTARA,PADEMANGAN,ANCOL,Cacat Fisik,Laki-laki,3
2017,JAKARTA UTARA,PADEMANGAN,ANCOL,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA UTARA,PADEMANGAN,ANCOL,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA UTARA,PADEMANGAN,ANCOL,Cacat Netra/Buta,Laki-laki,2
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Cacat Fisik,Laki-laki,1
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Cacat Lainnya,Laki-laki,1
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Cacat Lainnya,Laki-laki,
2017,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Cacat Fisik,Laki-laki,6
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Cacat Fisik dan Mental,Laki-laki,42
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Cacat Lainnya,Laki-laki,125
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Cacat Mental/Jiwa,Laki-laki,582
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Cacat Rungu/Wicara,Laki-laki,4
2017,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Cacat Fisik,Laki-laki,6
2017,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Cacat Lainnya,Laki-laki,9
2017,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Cacat Fisik,Laki-laki,4
2017,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Cacat Lainnya,Laki-laki,11
2017,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Cacat Fisik,Laki-laki,
2017,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Cacat Lainnya,Laki-laki,1
2017,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Fisik,Laki-laki,15
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Lainnya,Laki-laki,11
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Mental/Jiwa,Laki-laki,4
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Netra/Buta,Laki-laki,2
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Cacat Rungu/Wicara,Laki-laki,9
